Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
0,,,132,132,3,0.502871,0.511565,0.000198,0.01439,0.01439,0,0.000213,0,0.034698,300,0.72851
32,,,133,133,3,0.503928,0.512333,0.000198,0.014658,0.014658,0,0.000214,0,0.032809,288,0.741923
39,,,148,148,3,0.505719,0.514603,0.000254,0.01608,0.01608,0,0.000235,0,0.030245,329,0.814057
117,,,130,130,3,0.502316,0.511053,0.000197,0.013977,0.013977,0,0.000211,0,0.028623,240,0.707731
174,,,144,144,3,0.505102,0.513907,0.000241,0.0156,0.0156,0,0.00023,0,0.027681,285,0.789749
180,,,127,127,3,0.501542,0.510321,0.00019,0.013638,0.013638,4,0.000207,0,0.031746,254,0.690572
210,,,118,118,3,0.499671,0.508418,0.000163,0.012677,0.012677,4,0.000195,0,0.03187,220,0.641972
235,,,138,138,3,0.504431,0.513029,0.000218,0.014931,0.014931,1,0.000222,0,0.03089,292,0.755933
238,,,153,153,3,0.505663,0.514932,0.00027,0.016531,0.016531,6,0.000242,0,0.03053,355,0.836914
239,,,141,141,3,0.50471,0.513431,0.000227,0.015287,0.015287,6,0.000226,0,0.030395,300,0.773978
249,,,144,144,3,0.505551,0.5142,0.00024,0.015608,0.015608,0,0.00023,0,0.029623,305,0.790151
253,,,119,119,3,0.500055,0.508747,0.000162,0.012879,0.012879,2,0.000196,0,0.029198,205,0.65208
287,,,134,134,3,0.50326,0.511968,0.000205,0.014622,0.014622,1,0.000216,0,0.032768,292,0.740168
301,,,109,109,3,0.496132,0.50538,0.000138,0.011773,0.011773,4,0.000182,0,0.027013,159,0.596083
304,,,152,152,3,0.505888,0.515005,0.000266,0.016428,0.016428,1,0.000241,0,0.029888,343,0.831686
421,,,146,146,3,0.504598,0.513724,0.000252,0.015685,0.015685,2,0.000233,0,0.027397,290,0.794157
426,,,134,134,3,0.50404,0.51248,0.000206,0.014576,0.014576,2,0.000216,0,0.031871,284,0.737939
472,,,134,134,3,0.502816,0.511675,0.000207,0.014511,0.014511,0,0.000216,0,0.033778,301,0.7347
508,,,142,142,3,0.504487,0.513358,0.000234,0.015325,0.015325,2,0.000227,0,0.032664,327,0.775968
519,,,138,138,3,0.50326,0.51226,0.000226,0.014738,0.014738,0,0.000222,0,0.031101,294,0.746331
527,,,169,169,3,0.508429,0.517896,0.000332,0.018378,0.018378,4,0.000264,0,0.029938,425,0.930272
578,,,123,123,3,0.501542,0.510028,0.000171,0.01344,0.01344,2,0.000201,0,0.031454,236,0.680374
625,,,134,134,3,0.503093,0.511858,0.000208,0.0144,0.0144,0,0.000216,0,0.029963,267,0.729142
685,,,143,143,3,0.504934,0.513724,0.000233,0.015522,0.015522,1,0.000228,0,0.031419,319,0.785814
736,,,117,117,3,0.49885,0.507795,0.000158,0.012652,0.012652,6,0.000193,0,0.028588,194,0.640577
800,,,151,151,3,0.506,0.515005,0.000257,0.016531,0.016531,0,0.000239,0,0.030905,350,0.83678
824,,,136,136,3,0.503538,0.512297,0.000207,0.014963,0.014963,0,0.000219,0,0.031264,287,0.757356
918,,,117,117,3,0.500715,0.50904,0.000157,0.012647,0.012647,0,0.000193,0,0.030504,207,0.6403
925,,,152,152,3,0.50645,0.515371,0.000263,0.01658,0.01658,3,0.000241,0,0.030934,355,0.83929
967,,,123,123,3,0.500385,0.509259,0.000174,0.013252,0.013252,1,0.000201,0,0.029721,223,0.67101
972,,,124,124,3,0.500605,0.509479,0.00018,0.013293,0.013293,0,0.000203,0,0.031996,244,0.673147
979,,,122,122,3,0.50066,0.509369,0.000168,0.013301,0.013301,3,0.0002,0,0.032787,242,0.673332
997,,,140,140,3,0.503984,0.512882,0.000226,0.015078,0.015078,0,0.000225,0,0.028674,279,0.763458
1092,,,141,141,3,0.504487,0.513285,0.00023,0.015308,0.015308,0,0.000226,0,0.026849,265,0.774947
1166,,,151,151,3,0.50645,0.515298,0.000263,0.016341,0.016341,0,0.000239,0,0.031082,352,0.827267
1173,,,133,133,3,0.503483,0.512041,0.000208,0.014326,0.014326,1,0.000215,0,0.030303,266,0.725367
1178,,,140,140,3,0.503873,0.512809,0.000232,0.015024,0.015024,0,0.000225,0,0.02631,256,0.760758
1183,,,157,157,3,0.506338,0.515664,0.000286,0.017022,0.017022,0,0.000248,0,0.029724,364,0.861768
1228,,,117,117,3,0.498904,0.507832,0.000158,0.012565,0.012565,4,0.000193,0,0.030209,205,0.636311
1261,,,126,126,3,0.501376,0.510138,0.000185,0.013602,0.013602,4,0.000205,0,0.029079,229,0.688711
1286,,,113,113,3,0.497596,0.506661,0.00015,0.012098,0.012098,0,0.000188,0,0.028445,180,0.612613
1318,,,144,144,3,0.505382,0.51409,0.000236,0.015699,0.015699,1,0.00023,0,0.033217,342,0.794661
1335,,,133,133,3,0.5011,0.510467,0.000211,0.014115,0.014115,1,0.000215,0,0.031784,279,0.714851
1338,,,122,122,3,0.500495,0.509259,0.00017,0.013276,0.013276,6,0.0002,0,0.031974,236,0.672057
1495,,,165,165,3,0.507353,0.516908,0.000314,0.017924,0.017924,1,0.000259,0,0.030894,418,0.90733
1512,,,152,152,3,0.505831,0.514969,0.000267,0.016463,0.016463,1,0.000241,0,0.03137,360,0.833424
1552,,,140,140,3,0.503873,0.512809,0.000227,0.015096,0.015096,3,0.000224,0,0.031038,302,0.76429
1582,,,147,147,3,0.505102,0.514127,0.00026,0.015568,0.015568,6,0.000235,0,0.03215,345,0.788399
1609,,,140,140,3,0.50499,0.513541,0.000228,0.015127,0.015127,0,0.000224,0,0.028058,273,0.765878
1621,,,150,150,3,0.505775,0.514786,0.000253,0.016455,0.016455,2,0.000238,0,0.030157,337,0.832833
1734,,,140,140,3,0.504542,0.513248,0.000223,0.015268,0.015268,4,0.000224,0,0.03186,310,0.772859
1739,,,133,133,3,0.503149,0.511821,0.000202,0.014537,0.014537,4,0.000215,0,0.031214,274,0.735883
1740,,,145,145,3,0.505382,0.514163,0.00024,0.01576,0.01576,5,0.000231,0,0.032184,336,0.797869
1783,,,138,138,3,0.504263,0.512919,0.000218,0.015002,0.015002,1,0.000222,0,0.02962,280,0.759524
1813,,,127,127,3,0.501984,0.510613,0.00019,0.013596,0.013596,6,0.000207,0,0.029496,236,0.688526
1842,,,129,129,3,0.502372,0.511016,0.000196,0.013861,0.013861,3,0.00021,0,0.03234,267,0.701884
1853,,,136,136,3,0.503093,0.512004,0.000219,0.014532,0.014532,6,0.000219,0,0.029412,270,0.735889
1894,,,128,128,3,0.502594,0.511089,0.000189,0.013896,0.013896,0,0.000208,0,0.033465,272,0.703522
1903,,,146,146,3,0.505888,0.514566,0.000244,0.015858,0.015858,6,0.000233,0,0.029381,311,0.802766
1935,,,147,147,3,0.505719,0.514529,0.000254,0.015829,0.015829,0,0.000234,0,0.028888,310,0.801473
1945,,,141,141,3,0.504319,0.513175,0.00023,0.015284,0.015284,4,0.000226,0,0.028065,277,0.773698
1981,,,143,143,3,0.504654,0.513541,0.000244,0.015339,0.015339,6,0.000229,0,0.026692,271,0.776726
2000,,,151,151,3,0.505775,0.514859,0.000264,0.016428,0.016428,0,0.000239,0,0.029404,333,0.831547
2063,,,137,137,3,0.504934,0.513285,0.000217,0.014877,0.014877,0,0.00022,0,0.029412,274,0.753244
2144,,,132,132,3,0.503038,0.511675,0.0002,0.014326,0.014326,0,0.000213,0,0.028568,247,0.72525
